Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,563
design__instance__area,4075.16
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,4
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0004969273577444255
power__switching__total,0.00020784295338671654
power__leakage__total,4.548149856731243E-9
power__total,0.0007047748658806086
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2519154955941353
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25275360297912813
timing__hold__ws__corner:nom_tt_025C_1v80,0.321946978189335
timing__setup__ws__corner:nom_tt_025C_1v80,4.845793237165072
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.321947
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,3
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,4
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2531601389066679
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2540030202508016
timing__hold__ws__corner:nom_ss_100C_1v60,0.9037846837846039
timing__setup__ws__corner:nom_ss_100C_1v60,1.2860646245297789
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.903785
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.145696
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,4
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2515327184399945
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2523235858339535
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12521911639789463
timing__setup__ws__corner:nom_ff_n40C_1v95,6.0176159092299395
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.125219
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,3
design__max_fanout_violation__count,4
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.251248001737277
clock__skew__worst_setup,0.25189837040349616
timing__hold__ws,0.12166334950521245
timing__setup__ws,1.2491954491068755
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.121663
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.070984
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 94.115 104.835
design__core__bbox,5.52 10.88 88.32 92.48
design__io,90
design__die__area,9866.55
design__core__area,6756.48
design__instance__count__stdcell,563
design__instance__area__stdcell,4075.16
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.603148
design__instance__utilization__stdcell,0.603148
design__instance__count__class:inverter,30
design__instance__count__class:sequential_cell,56
design__instance__count__class:multi_input_combinational_cell,234
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,474
design__instance__count__class:tap_cell,96
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,88
design__io__hpwl,3098079
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,7738.85
design__violations,0
design__instance__count__class:timing_repair_buffer,139
design__instance__count__class:clock_buffer,8
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,33
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,531
route__net__special,2
route__drc_errors__iter:1,97
route__wirelength__iter:1,8202
route__drc_errors__iter:2,53
route__wirelength__iter:2,8112
route__drc_errors__iter:3,29
route__wirelength__iter:3,8085
route__drc_errors__iter:4,15
route__wirelength__iter:4,8052
route__drc_errors__iter:5,0
route__wirelength__iter:5,8054
route__drc_errors,0
route__wirelength,8054
route__vias,2841
route__vias__singlecut,2841
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,146.83
timing__unannotated_net__count__corner:nom_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,4
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2516412704992973
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.252318006963097
timing__hold__ws__corner:min_tt_025C_1v80,0.31673303765132754
timing__setup__ws__corner:min_tt_025C_1v80,4.87149534500126
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.316733
